Nome,Previsto,Effettivo (2024),Differenza
Crysencio Summerville,25.375702,35.0,9.624298095703125
Julien Ponceau,45.39153,55.0,9.608470916748047
Oskar Zawada,27.421228,37.0,9.578771591186523
Allan Tchaptchet,57.43053,67.0,9.569469451904297
Adam Wharton,51.471886,61.0,9.528114318847656
Jacob Barrett Laursen,55.47765,65.0,9.522350311279297
Rayyan Baniya,59.514545,69.0,9.485454559326172
Tony Springett,31.521719,41.0,9.478281021118164
Hayden Hackney,52.530807,62.0,9.469192504882812
Ossama Ashley,51.53278,61.0,9.467220306396484
Quilindschy Hartman,57.5717,67.0,9.428298950195312
Václav Černý,28.573896,38.0,9.426103591918945
Charlie Goode,56.580536,66.0,9.419464111328125
Matías Godoy,29.601698,39.0,9.39830207824707
Kiliann Sildillia,63.604523,73.0,9.395477294921875
Edvard Sandvik Tagseth,49.63961,59.0,9.360389709472656
Marcel Wędrychowski,27.664648,37.0,9.335351943969727
Gabriel Kobylak,41.3297,32.0,9.329700469970703
Bautista Kociubinski,59.686073,69.0,9.313926696777344
Lloyd Kelly,63.691635,73.0,9.308364868164062
Callum Doyle,61.73413,71.0,9.265869140625
Abdelkabir Abqar,61.856194,71.0,9.143806457519531
Logan Costa,61.88737,71.0,9.112628936767578
Utku Yuvakuran,45.107914,36.0,9.107913970947266
Eoghan O'Connell,53.90204,63.0,9.09796142578125
Connor Evans,29.912336,39.0,9.087663650512695
Cédric Zesiger,62.932037,72.0,9.067962646484375
Aleksa Terzić,58.94718,68.0,9.052818298339844
Ștefan Târnovanu,45.952698,55.0,9.04730224609375
Carl Rushworth,45.95278,55.0,9.047218322753906
Ryan Ledson,53.958546,63.0,9.041454315185547
Denis Franchi,46.041004,37.0,9.041004180908203
Michele Cerofolini,46.02604,37.0,9.026039123535156
Michał Helik,61.97558,71.0,9.024421691894531
Christos Zafeiris,53.006096,62.0,8.993904113769531
Will Wilson,41.016083,50.0,8.983917236328125
Semih Sahin,54.027256,63.0,8.97274398803711
Adam Ingi Benediktsson,45.96148,37.0,8.961479187011719
Ted Cann,45.946636,37.0,8.946636199951172
Steven Benda,45.94177,37.0,8.941768646240234
Daylam Meddah,49.136368,58.0,8.863632202148438
El Chadaille Bitshiabu,58.14651,67.0,8.85348892211914
Frederik Lauenborg,57.163517,66.0,8.836483001708984
Levi Colwill,65.17715,74.0,8.822853088378906
Cheick Keita,62.18136,71.0,8.818641662597656
Afimico Pululu,34.793446,26.0,8.793445587158203
Sebastian Ernst,49.2491,58.0,8.750900268554688
Ask Tjærandsen-Skau,42.2993,51.0,8.700698852539062
