Nome,Previsto,Effettivo (2024),Differenza
Rico Henry,61.806553,74.0,12.19344711303711
Arda Güler,39.85537,52.0,12.144630432128906
Dael Fry,61.911896,74.0,12.088104248046875
Reece Oxford,62.922043,75.0,12.077957153320312
Mario Dorgeles,37.980793,50.0,12.019207000732422
Leandro Putaro,26.982681,39.0,12.017318725585938
Bjarki Steinn Bjarkason,33.000263,45.0,11.999736785888672
Jez Lofthouse,25.036688,37.0,11.963312149047852
Jean-Charles Castelletto,62.120316,74.0,11.879684448242188
Scott McKenna,60.123276,72.0,11.876724243164062
Marcel Wędrychowski,25.148575,37.0,11.851425170898438
Élysée Logbo,30.850832,19.0,11.850831985473633
Connor Roberts,57.15924,69.0,11.84075927734375
Myles Peart-Harris,40.171944,52.0,11.828056335449219
Carlo Armiento,31.183126,43.0,11.816873550415039
Jamie Allen,52.18769,64.0,11.812309265136719
Aidomo Emakhu,29.77081,18.0,11.770809173583984
Lenn Jastremski,30.75502,19.0,11.755020141601562
Eric Martel,63.270355,75.0,11.729644775390625
Enzo Loiodice,57.27093,69.0,11.729068756103516
Christian Walton,23.320007,35.0,11.67999267578125
Julian Krahl,42.671062,31.0,11.671062469482422
Noé Lebreton,50.357727,62.0,11.64227294921875
Yaw Yeboah,23.424225,35.0,11.575775146484375
Franco Troyansky,23.44638,35.0,11.553619384765625
Jordan Bos,50.471497,62.0,11.52850341796875
Saël Kumbedi,53.47919,65.0,11.520809173583984
Markus Ponath,45.513874,34.0,11.513874053955078
Hans Christian Bernat,45.51205,34.0,11.51205062866211
Giovanni Garofani,45.50627,34.0,11.506271362304688
Maximilian Braune,45.505787,34.0,11.505786895751953
Nicola Bagnolini,45.50327,34.0,11.50326919555664
Arian Llugiqi,23.500473,35.0,11.499526977539062
Tsiy-William Ndenge,56.50973,68.0,11.49026870727539
Sander Tangvik,45.519638,57.0,11.480361938476562
Jake Bickerstaff,29.461866,18.0,11.46186637878418
John Souttar,60.557064,72.0,11.442935943603516
Anton Gaaei,47.592247,59.0,11.407752990722656
Cameron Carter-Vickers,63.610073,75.0,11.38992691040039
Juan José Cáceres,58.613743,70.0,11.38625717163086
Cheick Conde,57.614155,69.0,11.385845184326172
Jean Lambert Evan's,49.637722,61.0,11.36227798461914
Jean-Ricner Bellegarde,58.65289,70.0,11.347110748291016
Enrico Brignola,23.6633,35.0,11.336700439453125
Adrian Mazilu,23.682562,35.0,11.317438125610352
Tony Springett,29.687294,41.0,11.312705993652344
Alberto Dossena,60.739067,72.0,11.260932922363281
Amir Hadžiahmetović,59.795753,71.0,11.204246520996094
Houboulang Mendes,58.85821,70.0,11.141788482666016
Krystian Bielik,59.875736,71.0,11.124263763427734
Victor Loturi,48.93039,60.0,11.069610595703125
Crysencio Summerville,23.952602,35.0,11.04739761352539
Luca Valzania,49.97256,61.0,11.02743911743164
Aleksandar Jukic,42.99085,54.0,11.009151458740234
Felix Keidel,44.02722,55.0,10.9727783203125
Jerome Opoku,61.027973,72.0,10.972026824951172
Ethan Robson,48.02822,59.0,10.971778869628906
Justin Butler,33.958797,23.0,10.958797454833984
Liam Henderson,54.049934,65.0,10.950065612792969
Donat Rrudhani,26.086174,37.0,10.913825988769531
Habib Diarra,55.093544,66.0,10.906455993652344
Nathan-Dylan Saliba,42.103184,53.0,10.89681625366211
Julian Ryerson,62.11872,73.0,10.881278991699219
Vegard Solheim,41.147087,52.0,10.852912902832031
Keanu Baccus,57.162586,68.0,10.837413787841797
Nicolás Romero,60.180286,71.0,10.819713592529297
Mateusz Wieteska,61.2038,72.0,10.796199798583984
Mai Traore,29.762661,19.0,10.76266098022461
Alidu Seidu,64.28411,75.0,10.715888977050781
Alex Badolato,31.28448,42.0,10.715520858764648
Matías González,59.65664,49.0,10.656639099121094
Thomas Buitink,29.345318,40.0,10.654682159423828
Harrison Reed,61.354603,72.0,10.645397186279297
Johan Brattberg,23.409628,34.0,10.590372085571289
Alessandro Di Pardo,50.4235,61.0,10.576499938964844
Leopold Wahlstedt,45.50901,35.0,10.509010314941406
Jakub Stolarczyk,45.504807,35.0,10.504806518554688
Christos Talichmanidis,45.50404,35.0,10.504039764404297
Andi Hoti,57.500538,68.0,10.499462127685547
Prabhsukhan Gill,39.499294,29.0,10.49929428100586
Noah Atubolu,45.491848,35.0,10.49184799194336
Jon McCracken,45.489143,35.0,10.489143371582031
Tadeo Allende,25.517754,36.0,10.482246398925781
Bart Verbruggen,45.51958,56.0,10.480419158935547
Lorenzo Venuti,57.521873,68.0,10.478126525878906
Davide Frattesi,57.524197,68.0,10.47580337524414
Sam Taylor,27.473007,17.0,10.473007202148438
Lucas Lund,45.472546,35.0,10.472545623779297
Abdelkabir Abqar,60.533092,71.0,10.466907501220703
Romeo Lavia,61.562283,72.0,10.43771743774414
Jules Van Cleemput,60.625885,71.0,10.374114990234375
Martin Delavallée,35.64858,46.0,10.351421356201172
Stefano Turati,45.31867,35.0,10.318668365478516
Kasey Palmer,42.691628,53.0,10.308372497558594
Derrick Etienne Jr.,29.694525,40.0,10.305475234985352
Jean-Victor Makengo,62.697304,73.0,10.302696228027344
Arouna Sangante,60.701748,71.0,10.29825210571289
Mirko Antonucci,30.709845,41.0,10.290155410766602
Justin Ferizaj,38.752132,49.0,10.247867584228516
Jakub Niemczyk,27.247381,17.0,10.247381210327148
